element_id,name,group,obligation,datatype,occurrence,format,value_scheme,allowed_values,examples,maps_to,match_type,definition,curation_note
study_identifier,Study Identifier,Study,Required,string,unique,'default-study' or LastName-StudyName-Year-Crop,,,default-study; VanBuiten-BreadStudy-2022-wheat,dwc:datasetID,exact,Identifier for the overall study or project the sample belongs to.,"'default-study' if not part of a special study, otherwise the structured form. Treat as a human label, not the primary key."
study_tags,Study Tags,Study,Optional,string,multiple,,,,fermentation; post-harvest,dcterms:subject,close,Keywords describing the study's focus or characteristics.,May be left blank.
collector_name,Collector Name,Study,Required,string,multiple,,,,Angela Fernando; Jane Doe; John Smith,dwc:recordedBy,exact,Full name(s) of the individual(s) who collected the specimen.,"Present, spell-checked, consistent formatting. Record multiple collectors as separate values."
collector_organization,Collector Organization,Study,Required,string,unique,,,,"Prenni Lab, Colorado State University; Mahidol University, INMU",dwc:institutionCode,close,Affiliated organisation or institution of the collector(s).,Present and correctly spelled.
specimen_id,Specimen ID,Specimen,Curator-assigned,uuid,unique,,UUID / GUID (RFC 9562),,PTFI:SPC:06809dc5-f143-459a,,,"Persistent, globally unique identifier minted when a specimen comes into being at collection. Should resolve via a PTFI base URL.",Assigned by the curator; the resolvable form anchors all downstream samples and aliquots.
collection_date,Collection Date,Specimen,Required,date,unique,YYYY-MM-DD,ISO 8601-1,,2024-03-15; 2025-09-02,dwc:eventDate,exact,"Date the food was collected — harvest date for an agricultural product, or purchase date for food sourced at market.",Present and ISO 8601 formatted (YYYY-MM-DD).
collection_latitude,Collection Latitude,Specimen,Conditional,float,unique,"Decimal degrees, −90 to 90 (WGS84)",ISO 6709 (WGS84),,13.5215; 40.5853,dwc:decimalLatitude,exact,"Latitude of the collection site in decimal degrees, WGS84 datum.","Numeric, in range. If absent, query the collector. Round deliberately where the precise site is sensitive."
collection_longitude,Collection Longitude,Specimen,Conditional,float,unique,"Decimal degrees, −180 to 180 (WGS84)",ISO 6709 (WGS84),,99.9540; −105.0844,dwc:decimalLongitude,exact,"Longitude of the collection site in decimal degrees, WGS84 datum.","Numeric, in range. If absent, query the collector."
collection_country,Collection Country,Specimen,Required,vocabulary encoding scheme,unique,"Two-letter code, UPPERCASE",ISO 3166-1 alpha-2,,TH; US; MX,dwc:countryCode,exact,"Country where the food was collected, recorded once as an ISO 3166-1 alpha-2 code. The display name is derived from the code.",Mandatory. Store the code canonically; do not also store the country name as a separate free-text field.
collection_admin_area,Collection Administrative Area,Specimen,Conditional,string,unique,ISO 3166-2 code where available,ISO 3166-2,,US-CO; Ratchaburi,dwc:stateProvince,close,"Subnational administrative area of collection (state, region, province, or district). Use an ISO 3166-2 subdivision code where one exists; otherwise the named area.",Add when known. Prefer the standard code so the level is comparable across countries.
collection_locality,Collection Locality,Specimen,Conditional,string,unique,Named place; gazetteer ID recommended,GeoNames,,Damnoen Saduak Floating Market; Fort Collins,dwc:locality,exact,"Most specific named place of collection — city, town, market, farm, or named site. A gazetteer identifier (GeoNames or Wikidata) is recommended for interoperability.",Add when available; capture a gazetteer ID alongside free text where possible.
specimen_production_type,Production Type,Specimen,Required,vocabulary encoding scheme,multiple,,PTFI in-house vocabulary,conventional; organic; grain-fed; grass-fed; open field; hydroponic/aquaponic; greenhouse; farmed; wild; unknown; other,organic; greenhouse,,,Production system in which the specimen was produced.,"One or more values, lowercase."
specimen_unit_type,Specimen Unit Type,Specimen,Required,vocabulary encoding scheme,unique,,PTFI in-house vocabulary,individual; group of individuals; liquid; unknown,individual; group of individuals,,,Form in which the specimen was collected.,individual (e.g. 1 apple); group of individuals (e.g. a bag of rice); liquid (e.g. oil). Must be consistent with size and unit.
specimen_unit_size,Specimen Unit Size,Specimen,Conditional,float,unique,,,,3; 150; 0.50,,,Number of individuals or amount of specimen collected.,Positive value consistent with the unit (e.g. 3 apples; 150 g rice; 0.50 L oil). Leave blank if unknown.
specimen_unit_size_unit,Specimen Unit Size Unit,Specimen,Required,vocabulary encoding scheme,unique,,Unit Ontology (UO),,gram [UO:0000021]; count [UO:0000189]; litre [UO:0000099],,,"Unit in which the specimen size is expressed, from the Unit Ontology — including count for individuals.",Use a UO term. 'count' covers individual items.
specimen_temperature,Specimen Temperature at Collection,Specimen,Required,vocabulary encoding scheme,unique,,PTFI in-house vocabulary,controlled; uncontrolled,controlled,,,Temperature condition under which the specimen was stored at collection (e.g. flash-frozen in liquid nitrogen = controlled).,"Select from the temperature vocabulary. Consider recording a cold-chain category or value where known, since thermal history drives composition."
specimen_procurement_type,Procurement Type,Specimen,Required,vocabulary encoding scheme,unique,,PTFI in-house vocabulary,field; fresh market; small grocery; supermarket; biobank; unknown; other,supermarket; field,,,The kind of place where the specimen was procured.,Select one value from the procurement vocabulary.
specimen_origin_location,Specimen Origin Location,Specimen,Required,vocabulary encoding scheme,unique,Two-letter country code,ISO 3166-1 alpha-2,,MX; PE,,,"Country of origin of the specimen, which may differ from where it was collected (e.g. collected in a US supermarket, originating from MX).",Present and logical; an ISO 3166-1 code in every row.
specimen_food_product_name,Specimen Food Product Name,Specimen,Required,string,unique,lowercase; FoodOn-aligned,,,gala apple; sweet corn,,,"Standardised food-product name for the specimen, aligned with FoodOn. Include the cultivar where known.","Lowercase, typo-free. If a cultivar is known, include it (e.g. 'gala apple', not 'apple')."
specimen_food_product_iri,Specimen Food Product IRI,Specimen,Curator-assigned,IRI,unique,,FoodOn (OLS),,http://purl.obolibrary.org/obo/FOODON_03309552,dcterms:subject,close,"FoodOn IRI for the specimen's food-product form — a subclass of 'food product by organism', as specific as possible (cultivar where present).","Match name + preparation + method; avoid 'efsa foodex2' terms. If none exists, file a term request (SOP 3)."
specimen_common_name,Specimen Common Name,Specimen,Required,string,multiple,,,,hoy dong; pu dong,dwc:vernacularName,exact,Vernacular name of the specimen in the collector's local language or dialect. Pair with the language tag.,"Exact spelling/spacing. Confirm it denotes a meaningful food (e.g. 'hoy dong' = fermented shellfish), not just 'fish'."
common_name_language,Common Name Language Code,Specimen,Required,vocabulary encoding scheme,multiple,language[-script][-region],BCP 47,,es-MX; th-TH; en,dcterms:language,exact,"Language of the common name as a BCP 47 tag (language, optional script, optional region).",One tag per common-name value. BCP 47 covers three-letter (ISO 639-3) languages and scripts too.
specimen_organism_name,Specimen Organism Name,Specimen,Required,string,unique,"Latin binomial — Genus capitalised, species lowercase",,,Zea mays var. saccharata; Malus domestica,dwc:scientificName,exact,Scientific (Latin) name of the source organism. Use genus when several species apply.,"Roman form, correct case and spelling. For multi-ingredient foods record the principal organism (or leave for curation) rather than omitting it."
specimen_organism_iri,Specimen Organism IRI,Specimen,Curator-assigned,IRI,unique,,NCBITaxon (OLS),,http://purl.obolibrary.org/obo/NCBITaxon_4577,dwc:taxonID,close,"Most specific NCBI Taxonomy IRI for the source organism, retrieved via OLS.","Search the organism name in OLS; record the IRI of the best, most specific match."
specimen_breed_cultivar,Specimen Breed or Cultivar,Specimen,Optional,string,unique,lowercase,,,gala; cavendish; yukon gold,,,"Cultivar, variety, or hybrid (plants) or breed (animals); or 'unknown'.","Record when known, lowercase, spelling consistent with accepted names."
specimen_preparation,Specimen Preparation,Specimen,Required,vocabulary encoding scheme,multiple,,PTFI in-house vocabulary,raw; cooked; processed; unknown,raw; processed,dwc:preparations,close,Preparation state of the specimen at collection.,One or more values from the preparation vocabulary.
specimen_preparation_method,Specimen Preparation Method,Specimen,Conditional,vocabulary encoding scheme,multiple,,PTFI in-house vocabulary,boiled; fried; steamed; grilled; en papillote; fermented; smoked; dried; canned; ground; low or reduced fat; pasteurized; fresh frozen; hulled; dehydrated; enriched or fortified; pressure cooked; roasted; sautéed; other; unknown,fermented; dried; ground,,,Method(s) applied when the specimen is cooked or processed.,Encode all applicable methods. Required only when preparation is cooked or processed.
